,main_image,1_image,1_image_score,2_image,2_image_score,3_image,3_image_score
44,image_0128,image_0145,1371,image_0121,1557,image_0089,1617
45,image_0107,image_0366,1757,image_0376,2133,image_0144,2257
46,image_0279,image_0151,2098,image_0123,2243,image_0283,2422
47,image_0567,image_0591,1092,image_0845,1259,image_1325,1573
48,image_0877,image_1336,1895,image_1181,2260,image_0257,2847
49,image_0683,image_1354,1786,image_0334,2622,image_0257,2757
50,image_0904,image_0902,1134,image_0739,1788,image_0918,1877
51,image_0331,image_0136,1165,image_1187,1308,image_1196,1597
52,image_0483,image_0101,721,image_1277,780,image_0200,943
53,image_0245,image_0316,430,image_0874,449,image_0363,467
54,image_1316,image_0101,1031,image_0084,1101,image_0096,1106
55,image_0815,image_0363,1614,image_0261,1617,image_1303,1666
56,image_1255,image_0101,1096,image_0095,1163,image_0104,1208
57,image_1355,image_0130,2483,image_0637,2650,image_1090,2752
58,image_0625,image_0228,1337,image_0602,1456,image_0375,1475
59,image_0600,image_1034,1584,image_1169,1782,image_0573,1893
60,image_0930,image_0144,2319,image_0100,2435,image_0941,2441
61,image_0708,image_0681,2706,image_0707,3047,image_0652,3404
62,image_0333,image_0612,578,image_0720,594,image_0291,626
63,image_1043,image_1112,1333,image_0543,1654,image_0068,1782
64,image_0614,image_1354,461,image_1193,1347,image_0557,2110
65,image_0833,image_0860,0,image_1235,689,image_0875,727
66,image_1207,image_0874,712,image_0822,791,image_1325,949
67,image_0186,image_1166,975,image_0591,1271,image_0200,1307
68,image_1326,image_1310,667,image_0272,3019,image_0254,3659
69,image_0995,image_1020,1,image_0996,815,image_1018,1243
70,image_0089,image_0591,339,image_1166,355,image_0874,405
71,image_0003,image_0581,2657,image_0537,3373,image_0614,3455
72,image_1084,image_0637,1498,image_0116,2011,image_0095,2061
73,image_1199,image_1183,335,image_1166,403,image_0566,476
74,image_1153,image_0485,1259,image_0247,1259,image_1303,1289
75,image_0413,image_0456,0,image_1230,695,image_0085,1535
76,image_0370,image_0382,1260,image_0591,1402,image_0291,1415
77,image_0035,image_0411,2392,image_0468,2392,image_1122,2505
78,image_0485,image_0257,1877,image_1139,2424,image_0182,2882
79,image_0565,image_0875,897,image_0597,949,image_0101,1018
80,image_0741,image_1303,1344,image_0557,1936,image_0797,3237
81,image_0978,image_0955,1073,image_0948,1294,image_0791,2074
82,image_1116,image_1076,2342,image_0257,2640,image_1174,3056
83,image_0477,image_0492,5183,image_0539,5795,image_0487,6435
84,image_0970,image_0072,1497,image_0969,1663,image_1174,1711
85,image_1273,image_0095,1140,image_0098,1662,image_1222,1843
86,image_1161,image_0247,2460,image_1164,2556,image_0591,2786
